DATAFLOW,LAST UPDATE,freq,unit,icha11_hf,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:HLTH_SHA11_HF$DEFAULTVIEW(1.0),26/06/25 23:00:00,Annual,Million euro,Government schemes and compulsory contributory health care financing schemes,Austria,2014,25563.92,,
ESTAT:HLTH_SHA11_HF$DEFAULTVIEW(1.0),26/06/25 23:00:00,Annual,Million euro,Government schemes and compulsory contributory health care financing schemes,Austria,2015,26433.12,,
ESTAT:HLTH_SHA11_HF$DEFAULTVIEW(1.0),26/06/25 23:00:00,Annual,Million euro,Government schemes and compulsory contributory health care financing schemes,Austria,2016,27380.82,,
ESTAT:HLTH_SHA11_HF$DEFAULTVIEW(1.0),26/06/25 23:00:00,Annual,Million euro,Government schemes and compulsory contributory health care financing schemes,Austria,2017,28389.54,,
ESTAT:HLTH_SHA11_HF$DEFAULTVIEW(1.0),26/06/25 23:00:00,Annual,Million euro,Government schemes and compulsory contributory health care financing schemes,Austria,2018,29771.53,,
ESTAT:HLTH_SHA11_HF$DEFAULTVIEW(1.0),26/06/25 23:00:00,Annual,Million euro,Government schemes and compulsory contributory health care financing schemes,Austria,2019,31265.91,,
ESTAT:HLTH_SHA11_HF$DEFAULTVIEW(1.0),26/06/25 23:00:00,Annual,Million euro,Government schemes and compulsory contributory health care financing schemes,Austria,2020,33162.76,,
ESTAT:HLTH_SHA11_HF$DEFAULTVIEW(1.0),26/06/25 23:00:00,Annual,Million euro,Government schemes and compulsory contributory health care financing schemes,Austria,2021,38515.87,,
ESTAT:HLTH_SHA11_HF$DEFAULTVIEW(1.0),26/06/25 23:00:00,Annual,Million euro,Government schemes and compulsory contributory health care financing schemes,Austria,2022,38697.53,,
ESTAT:HLTH_SHA11_HF$DEFAULTVIEW(1.0),26/06/25 23:00:00,Annual,Million euro,Government schemes and compulsory contributory health care financing schemes,Austria,2023,40333.37,p,
ESTAT:HLTH_SHA11_HF$DEFAULTVIEW(1.0),26/06/25 23:00:00,Annual,Million euro,Government schemes and compulsory contributory health care financing schemes,Bosnia and Herzegovina,2014,938.24,,
ESTAT:HLTH_SHA11_HF$DEFAULTVIEW(1.0),26/06/25 23:00:00,Annual,Million euro,Government schemes and compulsory contributory health care financing schemes,Bosnia and Herzegovina,2015,969.21,,
ESTAT:HLTH_SHA11_HF$DEFAULTVIEW(1.0),26/06/25 23:00:00,Annual,Million euro,Government schemes and compulsory contributory health care financing schemes,Bosnia and Herzegovina,2016,1005.35,,
ESTAT:HLTH_SHA11_HF$DEFAULTVIEW(1.0),26/06/25 23:00:00,Annual,Million euro,Government schemes and compulsory contributory health care financing schemes,Bosnia and Herzegovina,2017,1011.03,,
ESTAT:HLTH_SHA11_HF$DEFAULTVIEW(1.0),26/06/25 23:00:00,Annual,Million euro,Government schemes and compulsory contributory health care financing schemes,Bosnia and Herzegovina,2018,1068.71,,
ESTAT:HLTH_SHA11_HF$DEFAULTVIEW(1.0),26/06/25 23:00:00,Annual,Million euro,Government schemes and compulsory contributory health care financing schemes,Bosnia and Herzegovina,2019,1147.47,,
ESTAT:HLTH_SHA11_HF$DEFAULTVIEW(1.0),26/06/25 23:00:00,Annual,Million euro,Government schemes and compulsory contributory health care financing schemes,Bosnia and Herzegovina,2020,1220.54,,
ESTAT:HLTH_SHA11_HF$DEFAULTVIEW(1.0),26/06/25 23:00:00,Annual,Million euro,Government schemes and compulsory contributory health care financing schemes,Bosnia and Herzegovina,2021,1318.93,,
ESTAT:HLTH_SHA11_HF$DEFAULTVIEW(1.0),26/06/25 23:00:00,Annual,Million euro,Government schemes and compulsory contributory health care financing schemes,Bosnia and Herzegovina,2022,1396.63,,
ESTAT:HLTH_SHA11_HF$DEFAULTVIEW(1.0),26/06/25 23:00:00,Annual,Million euro,Government schemes and compulsory contributory health care financing schemes,Belgium,2014,32508.97,,
ESTAT:HLTH_SHA11_HF$DEFAULTVIEW(1.0),26/06/25 23:00:00,Annual,Million euro,Government schemes and compulsory contributory health care financing schemes,Belgium,2015,34324.23,,
ESTAT:HLTH_SHA11_HF$DEFAULTVIEW(1.0),26/06/25 23:00:00,Annual,Million euro,Government schemes and compulsory contributory health care financing schemes,Belgium,2016,35594.28,,
ESTAT:HLTH_SHA11_HF$DEFAULTVIEW(1.0),26/06/25 23:00:00,Annual,Million euro,Government schemes and compulsory contributory health care financing schemes,Belgium,2017,36847.80,,
ESTAT:HLTH_SHA11_HF$DEFAULTVIEW(1.0),26/06/25 23:00:00,Annual,Million euro,Government schemes and compulsory contributory health care financing schemes,Belgium,2018,38234.54,,
ESTAT:HLTH_SHA11_HF$DEFAULTVIEW(1.0),26/06/25 23:00:00,Annual,Million euro,Government schemes and compulsory contributory health care financing schemes,Belgium,2019,38719.63,,
ESTAT:HLTH_SHA11_HF$DEFAULTVIEW(1.0),26/06/25 23:00:00,Annual,Million euro,Government schemes and compulsory contributory health care financing schemes,Belgium,2020,40507.29,,
ESTAT:HLTH_SHA11_HF$DEFAULTVIEW(1.0),26/06/25 23:00:00,Annual,Million euro,Government schemes and compulsory contributory health care financing schemes,Belgium,2021,42992.37,,
ESTAT:HLTH_SHA11_HF$DEFAULTVIEW(1.0),26/06/25 23:00:00,Annual,Million euro,Government schemes and compulsory contributory health care financing schemes,Belgium,2022,44790.72,,
ESTAT:HLTH_SHA11_HF$DEFAULTVIEW(1.0),26/06/25 23:00:00,Annual,Million euro,Government schemes and compulsory contributory health care financing schemes,Bulgaria,2014,1933.11,,
ESTAT:HLTH_SHA11_HF$DEFAULTVIEW(1.0),26/06/25 23:00:00,Annual,Million euro,Government schemes and compulsory contributory health care financing schemes,Bulgaria,2015,1900.45,,
ESTAT:HLTH_SHA11_HF$DEFAULTVIEW(1.0),26/06/25 23:00:00,Annual,Million euro,Government schemes and compulsory contributory health care financing schemes,Bulgaria,2016,2013.20,,
ESTAT:HLTH_SHA11_HF$DEFAULTVIEW(1.0),26/06/25 23:00:00,Annual,Million euro,Government schemes and compulsory contributory health care financing schemes,Bulgaria,2017,2217.66,,
ESTAT:HLTH_SHA11_HF$DEFAULTVIEW(1.0),26/06/25 23:00:00,Annual,Million euro,Government schemes and compulsory contributory health care financing schemes,Bulgaria,2018,2434.39,,
ESTAT:HLTH_SHA11_HF$DEFAULTVIEW(1.0),26/06/25 23:00:00,Annual,Million euro,Government schemes and compulsory contributory health care financing schemes,Bulgaria,2019,2644.16,,
ESTAT:HLTH_SHA11_HF$DEFAULTVIEW(1.0),26/06/25 23:00:00,Annual,Million euro,Government schemes and compulsory contributory health care financing schemes,Bulgaria,2020,3298.26,,
ESTAT:HLTH_SHA11_HF$DEFAULTVIEW(1.0),26/06/25 23:00:00,Annual,Million euro,Government schemes and compulsory contributory health care financing schemes,Bulgaria,2021,3978.08,,
ESTAT:HLTH_SHA11_HF$DEFAULTVIEW(1.0),26/06/25 23:00:00,Annual,Million euro,Government schemes and compulsory contributory health care financing schemes,Bulgaria,2022,4177.19,,
ESTAT:HLTH_SHA11_HF$DEFAULTVIEW(1.0),26/06/25 23:00:00,Annual,Million euro,Government schemes and compulsory contributory health care financing schemes,Switzerland,2014,39292.61,,
ESTAT:HLTH_SHA11_HF$DEFAULTVIEW(1.0),26/06/25 23:00:00,Annual,Million euro,Government schemes and compulsory contributory health care financing schemes,Switzerland,2015,46563.60,,
ESTAT:HLTH_SHA11_HF$DEFAULTVIEW(1.0),26/06/25 23:00:00,Annual,Million euro,Government schemes and compulsory contributory health care financing schemes,Switzerland,2016,47535.67,,
ESTAT:HLTH_SHA11_HF$DEFAULTVIEW(1.0),26/06/25 23:00:00,Annual,Million euro,Government schemes and compulsory contributory health care financing schemes,Switzerland,2017,47859.48,,
ESTAT:HLTH_SHA11_HF$DEFAULTVIEW(1.0),26/06/25 23:00:00,Annual,Million euro,Government schemes and compulsory contributory health care financing schemes,Switzerland,2018,46196.74,,
ESTAT:HLTH_SHA11_HF$DEFAULTVIEW(1.0),26/06/25 23:00:00,Annual,Million euro,Government schemes and compulsory contributory health care financing schemes,Switzerland,2019,49929.26,,
ESTAT:HLTH_SHA11_HF$DEFAULTVIEW(1.0),26/06/25 23:00:00,Annual,Million euro,Government schemes and compulsory contributory health care financing schemes,Switzerland,2020,54348.67,,
ESTAT:HLTH_SHA11_HF$DEFAULTVIEW(1.0),26/06/25 23:00:00,Annual,Million euro,Government schemes and compulsory contributory health care financing schemes,Switzerland,2021,56676.47,,
ESTAT:HLTH_SHA11_HF$DEFAULTVIEW(1.0),26/06/25 23:00:00,Annual,Million euro,Government schemes and compulsory contributory health care financing schemes,Switzerland,2022,62354.66,,
ESTAT:HLTH_SHA11_HF$DEFAULTVIEW(1.0),26/06/25 23:00:00,Annual,Million euro,Government schemes and compulsory contributory health care financing schemes,Cyprus,2014,521.62,,
ESTAT:HLTH_SHA11_HF$DEFAULTVIEW(1.0),26/06/25 23:00:00,Annual,Million euro,Government schemes and compulsory contributory health care financing schemes,Cyprus,2015,513.62,,
ESTAT:HLTH_SHA11_HF$DEFAULTVIEW(1.0),26/06/25 23:00:00,Annual,Million euro,Government schemes and compulsory contributory health care financing schemes,Cyprus,2016,529.93,,
ESTAT:HLTH_SHA11_HF$DEFAULTVIEW(1.0),26/06/25 23:00:00,Annual,Million euro,Government schemes and compulsory contributory health care financing schemes,Cyprus,2017,558.29,,
ESTAT:HLTH_SHA11_HF$DEFAULTVIEW(1.0),26/06/25 23:00:00,Annual,Million euro,Government schemes and compulsory contributory health care financing schemes,Cyprus,2018,621.80,,
ESTAT:HLTH_SHA11_HF$DEFAULTVIEW(1.0),26/06/25 23:00:00,Annual,Million euro,Government schemes and compulsory contributory health care financing schemes,Cyprus,2019,887.57,,
ESTAT:HLTH_SHA11_HF$DEFAULTVIEW(1.0),26/06/25 23:00:00,Annual,Million euro,Government schemes and compulsory contributory health care financing schemes,Cyprus,2020,1385.68,,
ESTAT:HLTH_SHA11_HF$DEFAULTVIEW(1.0),26/06/25 23:00:00,Annual,Million euro,Government schemes and compulsory contributory health care financing schemes,Cyprus,2021,1927.36,,
ESTAT:HLTH_SHA11_HF$DEFAULTVIEW(1.0),26/06/25 23:00:00,Annual,Million euro,Government schemes and compulsory contributory health care financing schemes,Cyprus,2022,1992.64,,
ESTAT:HLTH_SHA11_HF$DEFAULTVIEW(1.0),26/06/25 23:00:00,Annual,Million euro,Government schemes and compulsory contributory health care financing schemes,Czechia,2014,10106.52,,
ESTAT:HLTH_SHA11_HF$DEFAULTVIEW(1.0),26/06/25 23:00:00,Annual,Million euro,Government schemes and compulsory contributory health care financing schemes,Czechia,2015,10535.27,,
ESTAT:HLTH_SHA11_HF$DEFAULTVIEW(1.0),26/06/25 23:00:00,Annual,Million euro,Government schemes and compulsory contributory health care financing schemes,Czechia,2016,11130.60,,
ESTAT:HLTH_SHA11_HF$DEFAULTVIEW(1.0),26/06/25 23:00:00,Annual,Million euro,Government schemes and compulsory contributory health care financing schemes,Czechia,2017,12091.39,,
ESTAT:HLTH_SHA11_HF$DEFAULTVIEW(1.0),26/06/25 23:00:00,Annual,Million euro,Government schemes and compulsory contributory health care financing schemes,Czechia,2018,13377.32,,
ESTAT:HLTH_SHA11_HF$DEFAULTVIEW(1.0),26/06/25 23:00:00,Annual,Million euro,Government schemes and compulsory contributory health care financing schemes,Czechia,2019,14578.82,,
ESTAT:HLTH_SHA11_HF$DEFAULTVIEW(1.0),26/06/25 23:00:00,Annual,Million euro,Government schemes and compulsory contributory health care financing schemes,Czechia,2020,17438.34,,
ESTAT:HLTH_SHA11_HF$DEFAULTVIEW(1.0),26/06/25 23:00:00,Annual,Million euro,Government schemes and compulsory contributory health care financing schemes,Czechia,2021,19536.49,,
ESTAT:HLTH_SHA11_HF$DEFAULTVIEW(1.0),26/06/25 23:00:00,Annual,Million euro,Government schemes and compulsory contributory health care financing schemes,Czechia,2022,20655.41,,
ESTAT:HLTH_SHA11_HF$DEFAULTVIEW(1.0),26/06/25 23:00:00,Annual,Million euro,Government schemes and compulsory contributory health care financing schemes,Czechia,2023,22209.57,p,
ESTAT:HLTH_SHA11_HF$DEFAULTVIEW(1.0),26/06/25 23:00:00,Annual,Million euro,Government schemes and compulsory contributory health care financing schemes,Germany,2014,271805.00,,
ESTAT:HLTH_SHA11_HF$DEFAULTVIEW(1.0),26/06/25 23:00:00,Annual,Million euro,Government schemes and compulsory contributory health care financing schemes,Germany,2015,285085.00,,
ESTAT:HLTH_SHA11_HF$DEFAULTVIEW(1.0),26/06/25 23:00:00,Annual,Million euro,Government schemes and compulsory contributory health care financing schemes,Germany,2016,297255.00,,
ESTAT:HLTH_SHA11_HF$DEFAULTVIEW(1.0),26/06/25 23:00:00,Annual,Million euro,Government schemes and compulsory contributory health care financing schemes,Germany,2017,312537.00,,
ESTAT:HLTH_SHA11_HF$DEFAULTVIEW(1.0),26/06/25 23:00:00,Annual,Million euro,Government schemes and compulsory contributory health care financing schemes,Germany,2018,325090.00,,
ESTAT:HLTH_SHA11_HF$DEFAULTVIEW(1.0),26/06/25 23:00:00,Annual,Million euro,Government schemes and compulsory contributory health care financing schemes,Germany,2019,341894.00,,
ESTAT:HLTH_SHA11_HF$DEFAULTVIEW(1.0),26/06/25 23:00:00,Annual,Million euro,Government schemes and compulsory contributory health care financing schemes,Germany,2020,368435.00,,
ESTAT:HLTH_SHA11_HF$DEFAULTVIEW(1.0),26/06/25 23:00:00,Annual,Million euro,Government schemes and compulsory contributory health care financing schemes,Germany,2021,398907.00,,
