DATAFLOW,LAST UPDATE,freq,unit,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:DEMO_PJAN(1.0),23/07/25 23:00:00,Annual,Number,Total,Females,Andorra,2019,37388,,
ESTAT:DEMO_PJAN(1.0),23/07/25 23:00:00,Annual,Number,Total,Females,Albania,2014,1430827,,
ESTAT:DEMO_PJAN(1.0),23/07/25 23:00:00,Annual,Number,Total,Females,Albania,2015,1424597,,
ESTAT:DEMO_PJAN(1.0),23/07/25 23:00:00,Annual,Number,Total,Females,Albania,2016,1417141,,
ESTAT:DEMO_PJAN(1.0),23/07/25 23:00:00,Annual,Number,Total,Females,Albania,2017,1423050,,
ESTAT:DEMO_PJAN(1.0),23/07/25 23:00:00,Annual,Number,Total,Females,Albania,2018,1431715,,
ESTAT:DEMO_PJAN(1.0),23/07/25 23:00:00,Annual,Number,Total,Females,Albania,2019,1432833,,
ESTAT:DEMO_PJAN(1.0),23/07/25 23:00:00,Annual,Number,Total,Females,Albania,2020,1425342,,
ESTAT:DEMO_PJAN(1.0),23/07/25 23:00:00,Annual,Number,Total,Females,Albania,2021,1419759,,
ESTAT:DEMO_PJAN(1.0),23/07/25 23:00:00,Annual,Number,Total,Females,Albania,2022,1406532,,
ESTAT:DEMO_PJAN(1.0),23/07/25 23:00:00,Annual,Number,Total,Females,Albania,2023,1394864,,
ESTAT:DEMO_PJAN(1.0),23/07/25 23:00:00,Annual,Number,Total,Females,Armenia,2015,1571450,,
ESTAT:DEMO_PJAN(1.0),23/07/25 23:00:00,Annual,Number,Total,Females,Armenia,2016,1569535,,
ESTAT:DEMO_PJAN(1.0),23/07/25 23:00:00,Annual,Number,Total,Females,Armenia,2017,1567380,,
ESTAT:DEMO_PJAN(1.0),23/07/25 23:00:00,Annual,Number,Total,Females,Armenia,2018,1564533,,
ESTAT:DEMO_PJAN(1.0),23/07/25 23:00:00,Annual,Number,Total,Females,Armenia,2019,1563538,,
ESTAT:DEMO_PJAN(1.0),23/07/25 23:00:00,Annual,Number,Total,Females,Armenia,2020,1562689,,
ESTAT:DEMO_PJAN(1.0),23/07/25 23:00:00,Annual,Number,Total,Females,Armenia,2021,1565144,,
ESTAT:DEMO_PJAN(1.0),23/07/25 23:00:00,Annual,Number,Total,Females,Armenia,2023,1571757,,
ESTAT:DEMO_PJAN(1.0),23/07/25 23:00:00,Annual,Number,Total,Females,Armenia,2024,1577675,,
ESTAT:DEMO_PJAN(1.0),23/07/25 23:00:00,Annual,Number,Total,Females,Austria,2014,4352447,,
